work_order_id,equipment_id,date_reported,date_completed,maintenance_type,failure_mode,repair_cost,downtime_days,technician,parts_replaced
WO-001,STR-003,2024-07-02,2024-07-02,Preventive,None,120.50,0.0,TECH-01,None
WO-002,CARD-002,2024-07-05,2024-07-05,Preventive,None,165.00,0.5,TECH-02,None
WO-003,STR-007,2024-07-08,2024-07-08,Preventive,None,95.00,0.0,TECH-01,None
WO-004,CARD-001,2024-07-12,2024-07-14,Corrective,Belt,485.00,2.0,TECH-02,Belt
WO-005,STR-005,2024-07-15,2024-07-15,Preventive,None,110.00,0.0,TECH-01,None
WO-006,CARD-004,2024-07-18,2024-07-18,Preventive,None,145.00,0.5,TECH-02,None
WO-007,STR-001,2024-07-22,2024-07-22,Preventive,None,125.00,0.0,TECH-01,None
WO-008,STR-006,2024-07-25,2024-07-25,Preventive,None,105.00,0.0,TECH-02,None
WO-009,CARD-003,2024-07-28,2024-07-30,Corrective,Motor,620.00,2.5,TECH-01,Motor
WO-010,STR-004,2024-08-01,2024-08-01,Preventive,None,130.00,0.0,TECH-02,None
WO-011,CARD-002,2024-08-05,2024-08-05,Preventive,None,155.00,0.5,TECH-01,None
WO-012,STR-008,2024-08-08,2024-08-08,Preventive,None,140.00,0.0,TECH-02,None
WO-013,STR-003,2024-08-12,2024-08-12,Preventive,None,115.00,0.0,TECH-01,None
WO-014,CARD-001,2024-08-16,2024-08-18,Corrective,Electrical,535.00,2.0,TECH-02,Cables
WO-015,STR-002,2024-08-20,2024-08-22,Corrective,Hydraulic,380.00,2.0,TECH-01,None
WO-016,CARD-004,2024-08-24,2024-08-24,Preventive,None,150.00,0.5,TECH-02,None
WO-017,STR-007,2024-08-28,2024-08-28,Preventive,None,100.00,0.0,TECH-01,None
WO-018,STR-005,2024-09-02,2024-09-02,Preventive,None,125.00,0.0,TECH-02,None
WO-019,CARD-003,2024-09-06,2024-09-08,Corrective,Sensor,455.00,2.0,TECH-01,Display
WO-020,STR-001,2024-09-10,2024-09-10,Preventive,None,135.00,0.0,TECH-02,None
WO-021,CARD-002,2024-09-14,2024-09-14,Preventive,None,160.00,0.5,TECH-01,None
WO-022,STR-006,2024-09-18,2024-09-18,Preventive,None,110.00,0.0,TECH-02,None
WO-023,STR-004,2024-09-22,2024-09-22,Preventive,None,120.00,0.0,TECH-01,None
WO-024,CARD-004,2024-09-26,2024-09-26,Preventive,None,145.00,0.5,TECH-02,None
WO-025,STR-008,2024-09-30,2024-09-30,Preventive,None,150.00,0.0,TECH-01,None
WO-026,CARD-001,2024-10-03,2024-10-05,Corrective,Mechanical,565.00,2.0,TECH-02,Bearings
WO-027,STR-003,2024-10-07,2024-10-07,Preventive,None,125.00,0.0,TECH-01,None
WO-028,CARD-002,2024-10-11,2024-10-11,Preventive,None,170.00,0.5,TECH-02,None
